Items,Preis,Check = Needed ,Quantity,Gemüse & Obst,Preis,Check = Needed ,Quantity,Fleisch,Preis,Check = Needed ,Quantity,Dairy,Preis,Check = Needed ,Quantity,Carbohydrates,Preis,Check = Needed ,Quantity,Drinks,Preis,Check = Needed ,Quantity,Spices & Sauces,Preis,Check = Needed ,Quantity,Frozen,Preis,Check = Needed ,Quantity,Order Deadline (Tuesday Delivery),Order Deadline (Friday Delivery)
Baking Paper,,FALSE,,Apples,"1,89",FALSE,,Bacon,"1,39",FALSE,,Blueberry Yogurt,"0,65",FALSE,,Bagels,"1,79",TRUE,1,Apple Juice,"1,29",TRUE,3,Basil ,"0,99",FALSE,,Frozen Blueberries,"2,99",FALSE,,Monday 8 am,Thursday 8 am
Dish Soap,"0,95",TRUE,1,Arugula,"1,99",FALSE,,Bauchspeck,"4,29",FALSE,,Butter,"2,19",TRUE,1,whole grain Bread,"2,29",TRUE,1,Chai Tee,"2,29",FALSE,,Basilco Sauce,"1,59",TRUE,4,Frozen Mango,"3,29",FALSE,,Delivery should arrive between 6 and 8 pm,Delivery should arrive between 6 and 8 pm
Dishwasher pods,"5,99",FALSE,,Avocados,"1,59",FALSE,,Canned Tuna,"1,39",FALSE,,Butterkäse,"2,99",TRUE,1,Fusilli,"1,39",TRUE,2,Chocolate milk,"3,29",TRUE,1,BBQ sauce,"1,69",FALSE,,Frozen Raspberries,"3,69",FALSE,,,
disinfectant spray,"3,99",FALSE,,Bananas,"0,4",TRUE,8,Chicken,"6,49",TRUE,1,Cheddar,"2,89",FALSE,,Gnocchi,"1,89",TRUE,4,Instant coffee ,"2,69",FALSE,,Buldak Hot sauce,"5,89",FALSE,,Frozen Strawberries,"2,69",FALSE,,,
Garbage Bags,"1,89",FALSE,,Beans ,"1,39",FALSE,,Eggs,"1,99",TRUE,2,Cream Cheese,"1,69",FALSE,,Hamburger Buns,"1,19",TRUE,1,Mango Juice,"1,69",FALSE,,Brown Sugar,"1,69",FALSE,,Ice (Not Crushed),,TRUE,1,,
Hand Soap,"1,69",TRUE,1,Watermelon,"3,99",FALSE,,Ground beef,"3,49",TRUE,6,Gouda,"1,89",TRUE,1,Maccaroni,"1,99",FALSE,,Milk,"0,99",TRUE,1,Canned Tomatoes,"1,19",FALSE,,,,FALSE,,,
Laundry Detergent,"4,49",TRUE,,frozen Broccoli,"1,69",FALSE,,Ham,"2,49",FALSE,,Greek Vanilla Yogurt,"1,99",FALSE,,Musli,"2,49",FALSE,,Orange Juice,"2,49",FALSE,,Chicken Seasoning,"1,99",FALSE,,,,FALSE,,,
Paper Towels,"2,85",TRUE,1,Carrots,"1,19",FALSE,,Pork Steak,"3,79",FALSE,,Heavy Cream,"2,69",TRUE,1,Oats,"0,85",FALSE,,Pomegranate Juice,"2,69",FALSE,,Chili Flakes,"2,39",FALSE,,,,,,,
Sponges,"2,39",TRUE,,Cherry Tomatoes,"0,99",FALSE,,Salami,"1,99",FALSE,,Mozzarella,"1,29",TRUE,1,Rice,"2,99",TRUE,1,Sparkling Water,"2,34",TRUE,1,Cinnamon,"2,19",FALSE,,,,,,,
Swiffer Cloths,"6,79",FALSE,,Cucumber,"0,69",FALSE,,Salmon Fillet,"3,99",FALSE,,Parmesan cheese,"1,89",TRUE,3,Spaghetti,"1,39",FALSE,,Coconut water,"1,99",FALSE,,Dill,"2,29",FALSE,,,,,,,
Toilet Paper,"4,15",TRUE,1,Garlic,"1,49",FALSE,,Steak,"6,5",FALSE,,Raspberry Yogurt,"0,65",FALSE,,Tagliatelle,"1,89",FALSE,,,,FALSE,,Dried Thyme (in can),"2,19",FALSE,,,,,,,
Toothpaste,"1,29",FALSE,,Sour Pickles,"0,99",FALSE,,Hähnchengeschnetzeltes gewürzt,"5,99",FALSE,,Skyr,"1,89",FALSE,,Tortellini mit fleisch,"3,49",TRUE,4,,,FALSE,,Flour,"0,99",FALSE,,,,,,,
Body soap,"2,69",FALSE,,Red Grapes,"3,19",FALSE,,,,FALSE,,Strawberry Yogurt,"0,65",FALSE,,Tortiglioni,"1,39",FALSE,,,,,,Garlic Powder,"2,29",TRUE,,,,,,,
Vacuum bags,"5,99",FALSE,,Lemon Juice,"1,99",FALSE,,,,,,Vanilla Yogurt,"0,65",FALSE,,Tortilla,"1,29",FALSE,,,,,,Green Pesto,"1,09",TRUE,2,,,,,,
Bandaids,"2,49",FALSE,,Lemons,"1,89",FALSE,,,,,,Dr. Oetker High Protein Pudding Vanille + shoko 400g,2,TRUE,1,Waffles,"1,35",FALSE,,,,,,Honey,"2,99",TRUE,1,,,,,,
,,FALSE,,Lentils,"1,65",FALSE,,,,,,high protein ice cream cookies and cream,"2,8",FALSE,,White Bread,"1,69",FALSE,,,,,,Jam,"3,29",FALSE,,,,,,,
,,FALSE,,Lettuce,"1,19",FALSE,,,,,,,,FALSE,,Buldak Spicy Ramen ,"2,29",TRUE,1,,,,,Ketchup,"3,49",FALSE,,,,,,,
,,,,Limes,"1,59",FALSE,,,,,,,,,,Croissant,"1,99",FALSE,,,,,,maple syrup ,"4,99",FALSE,,,,,,,
,,,,Mushrooms,"1,99",FALSE,,,,,,,,,,Pretzels,"1,11",TRUE,1,,,,,Mayo,"3,39",TRUE,,,,,,,
,,,,Onions,"1,19",TRUE,1,,,,,,,,,dark chocolate,"1,99",TRUE,1,,,,,Mustard,"1,79",FALSE,,,,,,,
,,,,Oranges,"2,99",FALSE,,,,,,,,,,croutons,"1,49",FALSE,,,,,,Nutella,"4,89",TRUE,,,,,,,
,,,,Potatoes,"2,99",FALSE,,,,,,,,,,Bürger Schwäbische Eierspätzle ,"2,29",FALSE,,,,,,Olive Oil,"10,99",FALSE,,,,,,,
,,,,Red Pepper,"1,79",FALSE,,,,,,,,,,whole grain tortilla,"1,29",FALSE,,,,,,Onion Powder,"2,29",TRUE,,,,,,,
,,,,Tomato paste ,"2,19",FALSE,,,,,,,,,,Konjac root pasta,3,FALSE,,,,,,Orange Pesto,"1,09",FALSE,,,,,,,
,,,,Pomegranite,"2,99",FALSE,,,,,,,,,,shirataki rice,"2,39",FALSE,,,,,,Oregano,"1,99",FALSE,,,,,,,
GESAMTPREIS,,"152,84 €","175,00 €",Mandarines,"2,49",FALSE,,,,,,,,,,Power System High Protein ,"1,09",TRUE,12,,,,,Paprika,"2,19",FALSE,,,,,,,
,,,,Blueberries 500g,"4,99",FALSE,,,,,,,,,,Barilla Collezione Orecchiette ,"2,79",FALSE,,,,,,Parsley,"2,29",FALSE,,,,,,,
,,,,kiwis,"0,59",FALSE,,,,,,,,,,corny bars,"2,29",TRUE,3,,,,,Peanut Butter (not crunchy),"2,99",TRUE,,,,,,,
,,,,spinach,2,FALSE,,,,,,,,,,ritz crackers,"1,79",FALSE,,,,,,Pepper,"2,09",FALSE,,,,,,,
,,,,bereenmix,"4,49",FALSE,,,,,,,,,,,,FALSE,,,,,,Cayenne Pepper,"2,29",FALSE,,,,,,,
,,,,dates,"2,49",FALSE,,,,,,,,,,,,,,,,,,Salt,"1,29",TRUE,,,,,,,
,,,,Green grapes hard ,"2,99",TRUE,2,,,,,,,,,,,,,,,,,Siracha,"5,79",TRUE,,,,,,,
,,,,Baby carrots,"0,99",TRUE,1,,,,,,,,,,,,,,,,,Soy Sauce,"1,79",TRUE,1,,,,,,
,,,,,"2,99",FALSE,,,,,,,,,,,,,,,,,,Teriyaki sauce,"3,39",FALSE,,,,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,White Sugar,"1,19",FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bonne Maman Blueberry jam,"3,89",FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Cajun,"4,99",TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Vinegar salad dressing(the green one from the Mensa),"2,19",FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Baking soda,"0,85",FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,